User,Agency,Route,Run,VehicleID,ForwardEnd,VehicleCount,VehiclePosition,DepartureStop,ArrivalStop,Date,DepartureTime,ArrivalTime,Notes0,Notes1,Notes2,Notes3,Notes4
Seanny,BART,,,1509,,,,,,,,,,,,,
Seanny,BART,,,1510,,,,,,,,,,,,,
Seanny,BART,,,1521,,,,,,,,,,,,,
Seanny,BART,,,1524,,,,,,,,,,,,,
Seanny,BART,,,1525,,,,,,,,,,,,,
Seanny,BART,,,1528,,,,,,,,,,,,,
Seanny,BART,,,1531,,,,,,,,,,,,,
Seanny,BART,,,1531,,,,,,,,,,,,,
Seanny,BART,,,1534,,,,,,,,,,,,,
Seanny,BART,,,1536,,,,,,,,,,,,,
Seanny,BART,,,1546,,,,,,,,,,,,,
Seanny,BART,,,1546,,,,,,,,,,,,,
Seanny,BART,,,1546,,,,,,,,,,,,,
Seanny,BART,,,1546,,,,,,,,,,,,,
Seanny,BART,,,1548,,,,,,,,,,,,,
Seanny,BART,,,1553,,,,,,,,,,,,,
Seanny,BART,,,1556,,,,,,,,,,,,,
Seanny,BART,,,1560,,,,,,,,,,,,,
Seanny,BART,,,1561,,,,,,,,,,,,,
Seanny,BART,,,1563,,,,,,,,,,,,,
Seanny,BART,,,1563,,,,,,,,,,,,,
Seanny,BART,,,1565,,,,,,,,,,,,,
Seanny,BART,,,1566,,,,,,,,,,,,,
Seanny,BART,,,1566,,,,,,,,,,,,,
Seanny,BART,,,1568,,,,,,,,,,,,,
Seanny,BART,,,1569,,,,,,,,,,,,,
Seanny,BART,,,1570,,,,,,,,,,,,,
Seanny,BART,,,1572,,,,,,,,,,,,,
Seanny,BART,,,1576,,,,,,,,,,,,,
Seanny,BART,,,1576,,,,,,,,,,,,,
Seanny,BART,,,1576,,,,,,,,,,,,,
Seanny,BART,,,1583,,,,,,,,,,,,,
Seanny,BART,,,1583,,,,,,,,,,,,,
Seanny,BART,,,1587,,,,,,,,,,,,,
Seanny,BART,,,1590,,,,,,,,,,,,,
Seanny,BART,,,1591,,,,,,,,,,,,,
Seanny,BART,,,1594,,,,,,,,,,,,,
Seanny,BART,,,1594,,,,,,,,,,,,,
Seanny,BART,,,1594,,,,,,,,,,,,,
Seanny,BART,,,1601,,,,,,,,,,,,,
Seanny,BART,,,1606,,,,,,,,,,,,,
Seanny,BART,,,1607,,,,,,,,,,,,,
Seanny,BART,,,1614,,,,,,,,,,,,,
Seanny,BART,,,1614,,,,,,,,,,,,,
Seanny,BART,,,1614,,,,,,,,,,,,,
Seanny,BART,,,1614,,,,,,,,,,,,,
Seanny,BART,,,1616,,,,,,,,,,,,,
Seanny,BART,,,1618,,,,,,,,,,,,,
Seanny,BART,,,1618,,,,,,,,,,,,,
Seanny,BART,,,1618,,,,,,,,,,,,,
